gene_id,S00CWT11,S00D1D11,S00D2B11,S00D3911,S00D4711,S00D5511,S00XUN11
ENSG00000000003.13,1,11,39,43,1,0,14
ENSG00000000005.5,0,0,0,0,0,0,0
ENSG00000000419.11,994,942,642,808,1110,593,533
ENSG00000000457.12,1284,579,1104,1834,1038,1028,896
ENSG00000000460.15,746,519,612,736,809,626,648
ENSG00000000938.11,245,13086,526,553,7413,657,255
ENSG00000000971.14,119.8,167,3057,2637,1203,651,6
ENSG00000001036.12,1255,1738,1055,1137,1076,920,739
ENSG00000001084.9,3699,1928,2204,1980,2737,2298,1729
ENSG00000001167.13,3205,1584,2424,2885,2447,1545,2467
ENSG00000001460.16,160,105,161,222,152,230,303
ENSG00000001461.15,2363,1227,1504,1730,1562,3209,2776
ENSG00000001497.15,1719,1126,1374,1198,1257,1789,1215
ENSG00000001561.6,1153,718,2955,2618,245,78,341
ENSG00000001617.10,3,66,4,7,1,2,4
ENSG00000001626.13,0,0,0,1,0,0,0
ENSG00000001629.8,5218,3348,3636,4063,4280,3303,4035
ENSG00000001630.14,1706.14,2243.94,1116.03,1829.43,4402.38,1810,2711.75
ENSG00000001631.13,3450.16,1882.81,2168.91,2733.99,2795.39,2718.62,2836.95
ENSG00000002016.15,843.63,367.83,508.97,642.99,539.51,1105.06,1097.48
ENSG00000002079.11,0,0,0,2,0,1,0
ENSG00000002330.12,192,324,181,313,429,438,432
ENSG00000002549.11,1724,8283,1463,1679,6041,2126,1840
ENSG00000002586.16,8374,5073,13096,16932,5636,9740,16842
ENSG00000002587.8,2,4,0,0,33,4,5
ENSG00000002726.18,23,79,157,311,22,10,41
ENSG00000002745.11,5,1,0,0,1,0,1
ENSG00000002746.13,0,0,0,2,0,0,0
ENSG00000002822.14,861,1244,521,552,1336,1922,924
ENSG00000002834.16,5669,5301,3006,3452,4406,6235,6703
ENSG00000002919.13,557,781,530,518,978,668,520
ENSG00000002933.6,10,847,25,14,824,3,114
ENSG00000003056.6,7380,9187,4525,4995,7643,6125,6780
ENSG00000003096.12,1702.91,112,545.26,430.31,298.49,35,479.42
ENSG00000003137.7,0,1,0,0,0,0,1
ENSG00000003147.16,114,536,1219,1403,1,5,805
ENSG00000003249.12,5,7,8,4,3,10,4
ENSG00000003393.13,6336,2376,2585,3247,4586,11016,3210
ENSG00000003400.13,2523,2476,1738,2228,4352,5558,2426
ENSG00000003402.18,8043,15270.57,8293,7808,11814.6,8218,12609
ENSG00000003436.13,3371,1267,6528,9867,5558,7145,10963
ENSG00000003509.14,867,689,713,678,827,792,831
ENSG00000003756.15,10114.09,7903,9132.41,10439.57,9394,15158,10983.74
ENSG00000003987.12,2,3,17,19,0,9,12
ENSG00000003989.15,0,8,28,36,4,0,1
ENSG00000004059.9,1548.11,3131.12,1343.36,1653.48,1552.62,1581.65,2264.58
ENSG00000004139.12,91,784,1303,1146.86,1258.83,2252.6,1540.8
ENSG00000004142.10,1795,1430,850,891,1216,1668,1918
ENSG00000004399.11,6650,3764,2706,3721,10798,18125,26019
ENSG00000004455.15,5477.43,11217.27,9839.91,10526.46,6861.09,6107.95,5473.93
ENSG00000004468.11,15243,3177,1957,1478,3802,7266,6007
ENSG00000004478.7,4542,1500,890,1228,3127,3291,2372
ENSG00000004487.14,6364,3291,5263,4487,3439,3035,5757
ENSG00000004534.13,6914.91,4800,5387.59,5724.43,5168,6630,8759.26
ENSG00000004660.13,198,622,154,142,527,872,493
ENSG00000004700.14,1671,2655,2072,2951,4312,2873,2075
ENSG00000004766.14,2275,1509,1562,1859,2160,1306,1558
ENSG00000004776.10,1,0,0,0,0,0,0
ENSG00000004777.17,209,374,354,338,274,776,519
ENSG00000004779.8,737,719,468,669,1127,707,537
ENSG00000004799.7,6,823,15,7,1354,1,3
ENSG00000004809.12,723,774,1282,1224,984,1206,562
ENSG00000004838.12,24,22,26,49,6,28,85
ENSG00000004846.15,12,1,1,0,7,7,0
ENSG00000004848.6,0,0,0,0,0,0,0
ENSG00000004864.12,971,1187,1033,1251,1049,845,943
ENSG00000004866.17,2385,193,112.26,69,23,5,1304
ENSG00000004897.10,4405.93,2871,1720,2399,3675,2334,2224
ENSG00000004939.12,15921,68,32,28,153,48,1840
ENSG00000004948.12,0,0,0,0,0,0,0
ENSG00000004961.13,392,431,218,258,386,256,221
ENSG00000004975.10,1358,734,614,706,606,970,1560
ENSG00000005001.8,0,0,0,0,0,0,0
ENSG00000005007.11,2264,2096,1486,1158,2093,2892,2604
ENSG00000005020.11,3280,6470,1988,3792,5550,3157,4157
ENSG00000005022.5,4695,5434,2929,3272,4984,4176,4671
ENSG00000005059.14,114,1406,543,601,420,13,595
ENSG00000005073.5,0,40,866,1184,0,0,14
