Data type	GEO ID	Name	Tissue	Population	Number of donors	Age group	Gender	Platform	Data Format
Bisulfite-seq	GSM2324702	HSC_50_D7_1_R1	peripheral blood	HSC	7	NA	Female	Illumina HiSeq 3000/4000	Alignment
Bisulfite-seq	GSM2324703	HSC_50_D7_2_R1	peripheral blood	HSC	7	NA	Female	Illumina HiSeq 3000/4001	Alignment
Bisulfite-seq	GSM2324704	HSC_1000_D7_R1	peripheral blood	HSC	7	NA	Female	Illumina HiSeq 3000/4002	Alignment
Bisulfite-seq	GSM2324708	HSC_10_D9_6_R1	peripheral blood	HSC	9	60	Male	Illumina HiSeq 3000/4003	Alignment
Bisulfite-seq	GSM2324709	HSC_10_D9_7_R1	peripheral blood	HSC	9		Male	Illumina HiSeq 3000/4004	Alignment
Bisulfite-seq	GSM2324710	HSC_50_D9_1_R1	peripheral blood	HSC	9		Male	Illumina HiSeq 3000/4005	Alignment
Bisulfite-seq	GSM2324711	HSC_50_D9_2_R1	peripheral blood	HSC	9		Male	Illumina HiSeq 3000/4006	Alignment
Bisulfite-seq	GSM2324693	HSC_50_D10_1_R1	peripheral blood	HSC	10	50	Male	Illumina HiSeq 3000/4007	Alignment
Bisulfite-seq	GSM2324694	HSC_50_D10_2_R1	peripheral blood	HSC	10	50	Male	Illumina HiSeq 3000/4008	Alignment
Bisulfite-seq	GSM2324695	HSC_1000_D10_R1	peripheral blood	HSC	10	50	Male	Illumina HiSeq 3000/4009	Alignment
Bisulfite-seq	GSM2325039	MPP_50_D7_1_R1	peripheral blood	MPP	7	NA	Female	Illumina HiSeq 3000/4010	Alignment
Bisulfite-seq	GSM2325040	MPP_50_D7_2_R1	peripheral blood	MPP	7	NA	Female	Illumina HiSeq 3000/4011	Alignment
Bisulfite-seq	GSM2325041	MPP_1000_D7_R1	peripheral blood	MPP	7	NA	Female	Illumina HiSeq 3000/4012	Alignment
Bisulfite-seq	GSM2325061	MPP_50_D10_1_R1	peripheral blood	MPP	10	NA	Male	Illumina HiSeq 3000/4013	Alignment
Bisulfite-seq	GSM2325062	MPP_50_D10_2_R1	peripheral blood	MPP	10	NA	Male	Illumina HiSeq 3000/4014	Alignment
Bisulfite-seq	GSM2325063	MPP_1000_D10_R1	peripheral blood	MPP	10	NA	Male	Illumina HiSeq 3000/4015	Alignment
Bisulfite-seq	GSM2325050	MPP_50_D9_1_R1	peripheral blood	MPP	9	60	Male	Illumina HiSeq 3000/4016	Alignment
Bisulfite-seq	GSM2325051	MPP_50_D9_2_R1	peripheral blood	MPP	9	60	Male	Illumina HiSeq 3000/4017	Alignment
Bisulfite-seq	GSM2325052	MPP_1000_D9_R1	peripheral blood	MPP	9	60	Male	Illumina HiSeq 3000/4018	Alignment
Bisulfite-seq	GSM2324524	CMP_50_D2_1_R2	peripheral blood	CMP	2	65	Male	Illumina HiSeq 3000/4019	Alignment
